Algorithm,Environment,Mean Reward,Std Reward,Success Rate,Training Time,Status
PolicyIteration,LineWorld,1.0,0.0,1.0,0.0011801719665527344,success
PolicyIteration,GridWorld,,,,,failed
PolicyIteration,TwoRoundRockPaperScissors,,,,,failed
PolicyIteration,MontyHallLevel1,,,,,failed
PolicyIteration,MontyHallLevel2,,,,,failed
ValueIteration,LineWorld,1.0,0.0,1.0,0.0006098747253417969,success
ValueIteration,GridWorld,,,,,failed
ValueIteration,TwoRoundRockPaperScissors,,,,,failed
ValueIteration,MontyHallLevel1,,,,,failed
ValueIteration,MontyHallLevel2,,,,,failed
MonteCarloES,LineWorld,,,,,failed
MonteCarloES,GridWorld,,,,,failed
MonteCarloES,TwoRoundRockPaperScissors,,,,,failed
MonteCarloES,MontyHallLevel1,,,,,failed
MonteCarloES,MontyHallLevel2,,,,,failed
OnPolicyMonteCarlo,LineWorld,,,,,failed
OnPolicyMonteCarlo,GridWorld,,,,,failed
OnPolicyMonteCarlo,TwoRoundRockPaperScissors,,,,,failed
OnPolicyMonteCarlo,MontyHallLevel1,,,,,failed
OnPolicyMonteCarlo,MontyHallLevel2,,,,,failed
OffPolicyMonteCarlo,LineWorld,,,,,failed
OffPolicyMonteCarlo,GridWorld,,,,,failed
OffPolicyMonteCarlo,TwoRoundRockPaperScissors,,,,,failed
OffPolicyMonteCarlo,MontyHallLevel1,,,,,failed
OffPolicyMonteCarlo,MontyHallLevel2,,,,,failed
Sarsa,LineWorld,,,,,failed
Sarsa,GridWorld,,,,,failed
Sarsa,TwoRoundRockPaperScissors,,,,,failed
Sarsa,MontyHallLevel1,,,,,failed
Sarsa,MontyHallLevel2,,,,,failed
QLearning,LineWorld,,,,,failed
QLearning,GridWorld,,,,,failed
QLearning,TwoRoundRockPaperScissors,,,,,failed
QLearning,MontyHallLevel1,,,,,failed
QLearning,MontyHallLevel2,,,,,failed
ExpectedSarsa,LineWorld,,,,,failed
ExpectedSarsa,GridWorld,,,,,failed
ExpectedSarsa,TwoRoundRockPaperScissors,,,,,failed
ExpectedSarsa,MontyHallLevel1,,,,,failed
ExpectedSarsa,MontyHallLevel2,,,,,failed
DynaQ,LineWorld,,,,,failed
DynaQ,GridWorld,,,,,failed
DynaQ,TwoRoundRockPaperScissors,,,,,failed
DynaQ,MontyHallLevel1,,,,,failed
DynaQ,MontyHallLevel2,,,,,failed
DynaQPlus,LineWorld,,,,,failed
DynaQPlus,GridWorld,,,,,failed
DynaQPlus,TwoRoundRockPaperScissors,,,,,failed
DynaQPlus,MontyHallLevel1,,,,,failed
DynaQPlus,MontyHallLevel2,,,,,failed
